archetype,confidence
Boros Energy,0.956699120090345
Domain Zoo,0.956195000165965
Broodscale Combo,0.9554432231821156
Jeskai Blink,0.9430713963416996
R Storm,0.9344334025247504
U Belcher,0.9159542473814288
UG Ritual,0.9127492602670912
UG Neoform,0.9018687320741645
Eldrazi Tron,0.8684921160930843
RG Eldrazi,0.8517876540767418
Affinity,0.8241302108109646
UR Prowess,0.8188216739823353
UW Energy,0.8065049567946236
Yawgmoth,0.7938104842579137
Mill,0.792505437127444
UR Mox Cutter,0.7472584319924294
Esper Goryos,0.7264952340768588
Esper Blink,0.7000334786215403
Amulet Titan,0.6969948103661033
Living_End,0.6467295741033163
Eldrazi Aggro,0.6228073335614007
UB Frog,0.6096373884445573
UW Control,0.5855520075706947
B Necro,0.568332012378103
Reanimator,0.43230170427853426
Samwise Combo,0.30930477245490506
Song of Creation Combo,0.26116257639234663
